No.,CS,GS,MIC,MIR,DMIC,DMIR,GCG,CPG,GS95
1,0.8475508719914574,-0.016360487918087255,3.7778336184982972,2.3007080188681,5.911778388939639,5.9117783889396405,NGC,Core,0.5213256182085382
2,0.5222312522306582,0.3141215281888685,2.158274196619262,0.8397432657856064,3.6345285707971526,3.6345285707971535,NGC,Peri,0.5213256182085382
3,0.2982903077392051,-0.01496893729415529,3.6785856690426284,2.150183029641823,3.604503684206925,3.604503684206923,NGC,Peri,0.5213256182085382
4,0.4723226790083514,-0.13797152279101937,2.5424590402193163,1.9990366734778524,4.172937009134974,4.172937009134973,NGC,Peri,0.5213256182085382
5,0.10629053060112652,-0.2181068131530216,1.7023549205975215,1.762657923803812,2.7042274812386067,2.7042274812386067,NGC,Peri,0.5213256182085382
6,0.07956664175097995,-0.22263786351359052,2.6479811929353745,0.5248932223961197,2.7749064655994546,2.774906465599454,NGC,Peri,0.5213256182085382
7,0.30248106377780165,-0.1387487391619445,1.8503649645780036,1.5257695838573997,1.7399638264516917,1.739963826451691,NGC,Peri,0.5213256182085382
8,0.08728747797077005,0.05589718834964894,2.6880590001830207,0.529484121643572,4.668729156020777,4.668729156020779,NGC,Peri,0.5213256182085382
9,0.43821422759049883,1.039139388444682,2.611701053030301,6.226198424868564,3.0128312042919667,3.012831204291967,GC,Peri,0.5213256182085382
10,0.4021496399066498,1.1440967428643196,2.364043210719002,2.0989095524013375,3.091677021746801,3.091677021746801,GC,Peri,0.5213256182085382
11,0.9813576756318475,0.8172840543779184,3.9057437608177135,5.01546599681791,4.756083682458092,4.756083682458093,GC,Core,0.5213256182085382
12,0.9851275664556008,1.0452970266469641,2.4017095968198827,3.4067595520686362,2.653345727786451,2.6533457277864545,GC,Core,0.5213256182085382
13,0.9488545032538537,1.025567082929,2.6515508940355996,3.3713621257739117,6.7818117562215114,6.7818117562215114,GC,Core,0.5213256182085382
14,0.5444292455612699,1.005505264661707,2.0393717773903153,1.812514759256574,2.226538820077037,2.2265388200770366,GC,Peri,0.5213256182085382
15,0.9594113891726253,0.9126637834468725,3.921327284626093,2.596953297690738,7.013111806401172,7.01311180640117,GC,Core,0.5213256182085382
16,0.5661322053511575,0.47950996547553987,2.486206830825692,2.4071647005338965,3.316365762526473,3.3163657625264733,NGC,Peri,0.5213256182085382
17,0.785288020053974,0.6409925139450486,2.818377919807387,5.162194236709114,7.231314743693334,7.2313147436933365,GC,Core,0.5213256182085382
18,0.6667043730244322,0.5569718511908931,3.764341613657473,2.9252643314797115,5.363693081814677,5.36369308181468,GC,Core,0.5213256182085382
19,0.8964940605944546,0.8546073038951189,2.110342005496918,2.4004981435776136,3.506960275884573,3.5069602758845733,GC,Core,0.5213256182085382
20,0.6979045269659002,0.7071036411789505,1.9316223220053497,2.050508593647038,2.6832734712541377,2.6832734712541377,GC,Core,0.5213256182085382
21,0.7269553014706052,0.8400441208079101,2.8615887364588595,3.1962872578696704,6.875076755463641,6.875076755463638,GC,Core,0.5213256182085382
22,0.9111924720313521,0.28583681409955336,3.147475324732134,1.3934862637133814,5.618250865532013,5.618250865532015,NGC,Core,0.5213256182085382
23,0.9453949946059309,0.9081413322371915,2.758932738866172,1.5534952177643362,3.0514693444463625,3.0514693444463634,GC,Core,0.5213256182085382
24,0.5752765220544999,0.29647737538596003,1.7447553450568134,0.8102750649941878,1.5203120175170084,1.5203120175170086,NGC,Peri,0.5213256182085382
25,0.8529681005264416,0.44297769826699224,3.2601004091728845,2.7586063852691063,3.207383111019215,3.2073831110192135,NGC,Core,0.5213256182085382
26,0.7780806068902189,0.8384237081458132,3.0440942716764456,2.272894723624669,4.545063575694148,4.545063575694146,GC,Core,0.5213256182085382
27,0.9818539938912363,0.6688822514343249,3.5051870334641055,2.2889151416433418,7.395118963419628,7.395118963419628,GC,Core,0.5213256182085382
28,0.8937407539609274,0.4890926517240959,2.5419583887382764,2.183637029850036,4.664179349826611,4.664179349826614,NGC,Core,0.5213256182085382
29,0.709475017761262,1.010800340854135,3.0034389919166147,1.9200721646904433,7.592709945938454,7.592709945938456,GC,Core,0.5213256182085382
30,0.40819738645757825,0.6016981657054686,2.4836913437538817,1.1460824302652268,6.954014365872639,6.954014365872638,GC,Peri,0.5213256182085382
31,0.7488219279988935,0.37753445408297176,2.0892512638013674,0.9515302586396044,4.794631842933569,4.79463184293357,NGC,Core,0.5213256182085382
32,0.982348844843588,0.8499771551835767,2.691577498135661,1.2484948131010625,6.351495872388588,6.351495872388587,GC,Core,0.5213256182085382
33,0.437874077479047,0.6830510052436138,3.455506933722822,1.230055638714773,4.034022272592868,4.034022272592865,GC,Peri,0.5213256182085382
34,0.9117974334215972,0.8012801823271963,3.018566555588865,1.1349969489234246,4.596814808686114,4.596814808686112,GC,Core,0.5213256182085382
35,0.5542293133125571,0.7463656607780571,2.8186788657340895,1.1826512299143417,3.4254461902516593,3.4254461902516593,GC,Peri,0.5213256182085382
36,0.9243184654016146,0.8455246628044492,2.3980440022938403,1.7097130135444711,5.057740802091111,5.057740802091111,GC,Core,0.5213256182085382
37,0.362700019296404,0.9786750845159524,2.14913803983497,1.2736425437562668,1.6439093695478826,1.6439093695478808,GC,Peri,0.5213256182085382
38,0.7037634473826427,0.9647072287073396,2.2380029586676775,2.3238835570814746,5.766419814777726,5.7664198147777235,GC,Core,0.5213256182085382
39,0.06082629073972517,1.0428982283565564,2.4197069974279914,2.1595879254588297,6.926580383927817,6.926580383927819,GC,Peri,0.5213256182085382
