,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
86,0.775627945,0.389290088,1.857449918,55.55111407,2.089874273,4.916036384,NGC,Core,CoreNGC,0.083612302,0.202519656,0.514700746
87,0.11344197,0.209481374,1.556175471,52.10397346,2.218470814,5.818486466,NGC,Peri,PeriNGC,0.297263159,3.69E-06,0.514700746
88,0.737661893,0.461728774,1.622494992,46.29493764,1.425593966,3.167809474,NGC,Core,CoreNGC,0.02832819,0.666392776,0.514700746
89,0.805484354,0.157505288,1.798498583,33.57192166,1.382538347,6.731159598,NGC,Core,CoreNGC,0.045714044,0.486485457,0.514700746
90,0.147745042,-0.075920621,1.323907143,20.84563969,0.840414345,4.065992896,NGC,Peri,PeriNGC,0.448797576,5.35E-13,0.514700746
91,0.078464997,-0.116216201,0.821577967,13.802817,0.888873687,3.66095523,NGC,Peri,PeriNGC,-0.016184412,0.805477678,0.514700746
92,0.848387124,-0.059621946,1.48460345,63.73334958,2.502475632,9.301055081,NGC,Core,CoreNGC,0.330237942,2.34E-07,0.514700746
93,0.461752836,-0.08778511,0.933454619,45.80656457,2.277250724,4.501327534,NGC,Peri,PeriNGC,0.10036895,0.125770288,0.514700746
94,0.012550966,0.350880267,1.069676223,26.65284236,1.297549408,2.531552,NGC,Peri,PeriNGC,0.193358323,0.002977474,0.514700746
95,0.253815649,-0.242278201,0.809792316,29.35061446,1.779963912,4.439289619,NGC,Peri,PeriNGC,0.15437311,0.018128104,0.514700746
96,0.547592746,0.42692455,1.036700464,42.79722241,2.175177867,3.177195409,NGC,Peri,PeriNGC,0.175712826,0.007049609,0.514700746
97,0.825747011,0.341242385,1.074686467,57.04931104,2.338063119,3.837730957,NGC,Core,CoreNGC,0.026647085,0.685101781,0.514700746
98,0.976009238,-0.050525561,1.469711008,44.2095598,1.860065132,5.577012584,NGC,Core,CoreNGC,0.292384391,5.40E-06,0.514700746
99,0.229299408,0.222541804,1.883508658,23.497813,0.809832519,8.24585885,NGC,Peri,PeriNGC,0.446809183,6.96E-13,0.514700746
100,0.080458065,-0.332710967,1.029826343,19.5490757,0.910099493,3.699111413,NGC,Peri,PeriNGC,0.143026977,0.028710842,0.514700746
101,0.577180955,-0.039379873,1.520443693,39.13116954,1.657317106,10.39612497,NGC,Peri,PeriNGC,0.171290848,0.008648408,0.514700746
102,0.78243242,0.248581404,1.36697255,51.43462185,2.16948528,10.05907933,NGC,Core,CoreNGC,0.205037674,0.001614656,0.514700746
103,0.199863157,-0.131746259,0.953998286,24.03227601,1.496284378,5.791904661,NGC,Peri,PeriNGC,0.004464014,0.945848572,0.514700746
104,0.53298391,0.411371683,1.105126025,13.74013871,0.561310466,1.770010608,NGC,Peri,PeriNGC,0.090337697,0.168413756,0.514700746
