,CS,GS,MIC,MIR,New_MIR,DMIR,GCG,CPG,GCCPG,r_1st_2nd_RM,p_1st_2nd_RM,GS95
98,0.073709985,-0.114494002,2.25898139,57.88501332,2.129683544,4.79369542,NGC,Peri,PeriNGC,0.66712176,1.17E-32,0.531357798
99,0.135729427,-0.055514381,2.06118839,48.70738693,1.668378292,2.281279951,NGC,Peri,PeriNGC,0.139008701,0.030289324,0.531357798
100,0.533494843,0.046359633,1.28239393,34.32229719,1.226570648,3.508047124,NGC,Peri,PeriNGC,0.226553322,0.000371131,0.531357798
101,0.318089264,0.12039306,2.2209709,60.35993882,1.912897546,6.618107383,NGC,Peri,PeriNGC,0.083651694,0.193753192,0.531357798
102,0.068394396,-0.396081027,1.089892467,24.87451096,1.139898795,1.866715138,NGC,Peri,PeriNGC,0.024757107,0.700982858,0.531357798
103,0.409855903,-0.231352651,1.68058851,39.60667515,1.54951747,5.917495042,NGC,Peri,PeriNGC,0.155259522,0.015414769,0.531357798
104,0.352053342,0.075861553,1.271375518,53.52502375,2.40548254,5.530483841,NGC,Peri,PeriNGC,0.357693512,9.57E-09,0.531357798
105,0.924849887,0.415405971,1.082195426,36.01600869,1.672293251,4.837063362,NGC,Core,CoreNGC,0.198873117,0.001837473,0.531357798
106,0.138948537,0.303538718,1.845944292,27.21900768,0.919832638,3.913381098,NGC,Peri,PeriNGC,0.179528198,0.005000846,0.531357798
107,0.805879453,0.473468844,1.584519945,113.5037548,3.846085024,5.77760907,NGC,Core,CoreNGC,0.253533164,6.41E-05,0.531357798
108,0.478491156,-0.060394522,1.701932943,31.11061773,1.142620833,6.095651211,NGC,Peri,PeriNGC,0.258858805,4.42E-05,0.531357798
109,0.38001505,0.01563989,1.618385764,37.22922503,1.479265009,4.809365924,NGC,Peri,PeriNGC,0.016520556,0.797781289,0.531357798
110,0.06002271,-0.232844048,0.86426726,29.17958663,1.887282984,0.723444396,NGC,Peri,PeriNGC,0.135571015,0.034668674,0.531357798
111,0.248038469,0.405423301,1.248351396,34.60473102,1.410532022,3.14191472,NGC,Peri,PeriNGC,0.165670308,0.009677887,0.531357798
112,0.047696138,0.48295871,1.07132174,33.32212168,1.553824438,2.191491645,NGC,Peri,PeriNGC,0.151440295,0.018167415,0.531357798
113,0.08571651,-0.252906361,1.042322076,18.10252427,0.803248384,1.102374068,NGC,Peri,PeriNGC,0.124792436,0.052029149,0.531357798
114,0.113073812,0.139772246,1.615456624,30.75756187,0.970208035,3.597807782,NGC,Peri,PeriNGC,0.03395506,0.598381315,0.531357798
115,0.310093767,-0.011542912,1.89818553,34.59834235,1.260595514,5.950384029,NGC,Peri,PeriNGC,0.728844818,1.58E-41,0.531357798
116,0.14138871,-0.08875641,1.016298499,46.72383916,2.517733872,2.815591018,NGC,Peri,PeriNGC,0.109450061,0.088665697,0.531357798
117,0.573620693,0.377806944,1.065360259,21.20922977,0.841465193,3.418533296,NGC,Peri,PeriNGC,0.046104763,0.474376218,0.531357798
118,0.771831598,-0.206809419,1.403748656,26.53923378,0.939622084,4.659162076,NGC,Core,CoreNGC,0.435997702,1.07E-12,0.531357798
119,0.038685904,-0.1337197,0.623300037,24.27724329,1.311674377,-3.016454006,NGC,Peri,PeriNGC,-0.068298129,0.288957428,0.531357798
120,0.57516006,-0.071478131,2.002804603,37.65298175,1.062419753,5.340477169,NGC,Peri,PeriNGC,0.11873294,0.06462236,0.531357798
121,0.10009722,-0.146392846,1.410157889,26.87529173,1.031423533,1.924489143,NGC,Peri,PeriNGC,-0.011025545,0.864231448,0.531357798
122,0.071864363,0.399297334,1.031900852,21.10540632,1.159468924,3.041212703,NGC,Peri,PeriNGC,0.076081562,0.237367527,0.531357798
123,0.451394943,0.066277997,0.908830038,20.80411392,1.180539515,2.451723767,NGC,Peri,PeriNGC,0.111900419,0.081713026,0.531357798
124,0.480032061,0.236093358,1.584498883,30.91524095,1.402386627,7.388213551,NGC,Peri,PeriNGC,0.309912303,8.31E-07,0.531357798
125,0.711891615,-0.183810481,1.83176189,36.65470297,1.082315837,3.535294489,NGC,Core,CoreNGC,0.060693522,0.346136941,0.531357798
126,0.099115859,-0.299292134,0.811076668,31.55419865,1.576407421,3.1768241,NGC,Peri,PeriNGC,0.104260675,0.104952374,0.531357798
127,0.019157468,-0.015423661,0.435997055,14.74400336,1.155632057,0.81358418,NGC,Peri,PeriNGC,-0.001020901,0.98736825,0.531357798
128,0.888743919,0.417564844,1.316621521,46.91204294,1.718006258,4.94760146,NGC,Core,CoreNGC,0.188093927,0.003247426,0.531357798
129,0.223858377,0.044261324,1.126428186,31.58016889,1.769492177,7.512073547,NGC,Peri,PeriNGC,0.355697639,1.17E-08,0.531357798
